"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1961",0.0322277803466588,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1962",5.46610169491525,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1963",6.14538680939937,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1964",6.19906968596427,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1965",5.01628894766918,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1966",2.93023751556697,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1967",7.19212144828883,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1968",5.33704151879684,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1969",6.21491560438075,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1970",6.95644270750494,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1971",3.88485021010099,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1972",2.27826254107764,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1973",4.36045697925039,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1974",1.61390749919056,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1975",2.4778133702372,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1976",3.83714576407147,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1977",1.48232146495743,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1978",2.01885286974619,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1979",4.58640388558207,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1980",2.71619160449868,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1981",4.18185409869494,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1982",-0.367758371281512,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1983",-0.177114204896885,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1984",6.59206676475969,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1985",5.03621923672755,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1986",1.76670195950799,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1987",5.34384623065941,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1988",4.43817338940562,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1989",4.32169026107989,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1990",1.40722199165002,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1991",-1.32914400992452,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1992",3.01899074785617,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1993",4.09517541708536,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1994",4.74917355417178,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1995",3.13278646340009,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1996",3.97003859280784,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1997",4.17334502676384,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1998",4.95796721845715,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1999",4.09216265867,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2000",3.38854479345417,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2001",2.73835411901353,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2002",4.01677171854435,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2003",3.13962851996034,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2004",3.95591947504129,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2005",3.01294653161311,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2006",2.68509738640594,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2007",4.37453571902502,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2008",2.41780048509363,
